valor,tipo,amenaza,nivel,score,confianza,pais,fuente,visto
us-us-us-glucore.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 09:33:59 UTC
1szmvih8.www-cardioslim.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 09:06:23 UTC
2a2m8vsh.www-trumpgoldenbadge.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 07:04:08 UTC
beadbikes.xyz,domain,Unknown Loader,media,55,100,,ThreatFox,2026-09-07 06:42:17 UTC
paperagreement.cfd,domain,Unknown Loader,media,55,100,,ThreatFox,2026-09-07 06:40:31 UTC
sunshinedreamuk.com,domain,SnappyClient,media,55,100,,ThreatFox,2026-09-07 06:33:54 UTC
lb.honeytrail.cc,domain,ACR Stealer,media,55,100,,ThreatFox,2026-09-07 06:28:54 UTC
troysolution.com.tr,domain,Unknown Stealer,media,55,100,,ThreatFox,2026-09-07 05:44:33 UTC
lunar-quill-fluscriois.live,domain,Unknown malware,media,55,100,,ThreatFox,2026-09-07 05:44:09 UTC
satinmaple4,domain,Unknown malware,media,55,100,,ThreatFox,2026-09-07 05:44:01 UTC
anchorcoral10.com,domain,Unknown malware,media,55,100,,ThreatFox,2026-09-07 05:44:00 UTC
bridge-schema.com,domain,Unknown malware,media,55,100,,ThreatFox,2026-09-07 05:44:00 UTC
brewmacosterm.com,domain,Unknown malware,media,55,100,,ThreatFox,2026-09-07 05:43:48 UTC
coal.albaikmenuonline.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 05:43:37 UTC
q6p4rp08.web-zensulin.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 05:37:38 UTC
web-zensulin.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 05:34:33 UTC
5vjm0bsj.us-us-usa-lipovive.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 05:26:49 UTC
otxkq8x6.us-neuro-vera.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 05:25:31 UTC
01h0oh62.www-glycofree.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 05:03:03 UTC
ira-company.com,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 04:51:54 UTC
isabellemarier.ca,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 04:51:54 UTC
jailimeandchemical.com,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 04:51:54 UTC
jmsaadvocacia.com.br,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 04:51:54 UTC
kairostksc.com,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 04:51:54 UTC
katharina-kolibri.de,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 04:51:54 UTC
katharinajbbari.com,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 04:51:54 UTC
keylargotikitour.com,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 04:51:54 UTC
gloriousfuturered.com,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 04:51:53 UTC
headstartlearningtuition.com,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 04:51:53 UTC
hirsch2.com,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 04:51:53 UTC
imixxperfumes.com,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 04:51:53 UTC
emglobaltrade.com,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 04:51:52 UTC
ericgalindo.com,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 04:51:52 UTC
estrategaswebs.com,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 04:51:52 UTC
factminded.com,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 04:51:52 UTC
floridawindowexperts.com,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 04:51:52 UTC
corporateconnectingpoint.com,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 04:51:51 UTC
cucuta.consulado.gob.ve,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 04:51:51 UTC
drsadi.com,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 04:51:51 UTC
dtvconstruction.com,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 04:51:51 UTC
businessadmin.uk,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 04:51:50 UTC
cannalogis.de,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 04:51:50 UTC
circuitoyepesmotor.com,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 04:51:50 UTC
argentina.embajada.gob.ve,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 04:51:49 UTC
